From, To, Tempo, Qtde, Kind, Lat, Lon
n301,n248,420,0,32,-49.26027915,-25.4335992
n120,n248,420,0,30,-49.2606804,-25.43374605
n248,n120,420,0,32,-49.2606804,-25.43374605
n42,n120,420,0,31,-49.260999850000005,-25.43387395
n120,n42,420,0,32,-49.260999850000005,-25.43387395
n75,n122,420,0,50,-49.266515,-25.435964400000003
n122,n75,420,0,50,-49.266515,-25.435964400000003
n122,n123,420,0,61,-49.266943,-25.435092150000003
n123,n122,420,0,61,-49.266943,-25.435092150000003
n76,n124,420,0,59,-49.265849849999995,-25.437315599999998
n124,n76,420,0,59,-49.265849849999995,-25.437315599999998
n125,n126,420,0,71,-49.26548705,-25.43774735
n126,n125,420,0,51,-49.26548705,-25.43774735
n126,n127,420,0,71,-49.265411549999996,-25.43854055
n127,n126,420,0,51,-49.265411549999996,-25.43854055
n128,n129,420,0,45,-49.2619652,-25.43591885
n129,n128,420,0,41,-49.2619652,-25.43591885
n127,n216,420,0,32,-49.265064699999996,-25.438753900000002
n216,n127,420,0,32,-49.265064699999996,-25.438753900000002
n178,n216,420,0,32,-49.26424735,-25.43844545
n216,n178,420,0,32,-49.26424735,-25.43844545
n178,n220,420,0,32,-49.26343745,-25.43813625
n220,n178,420,0,32,-49.26343745,-25.43813625
n220,n372,420,0,32,-49.263119399999994,-25.438012800000003
n372,n220,420,0,32,-49.263119399999994,-25.438012800000003
n130,n372,420,0,32,-49.262950000000004,-25.43795055
n372,n130,420,0,32,-49.262950000000004,-25.43795055
n131,n139,420,0,62,-49.26205605,-25.4317268
n139,n131,420,0,62,-49.26205605,-25.4317268
n306,n139,420,0,62,-49.26234345,-25.43109665
n133,n134,420,0,32,-49.26038435,-25.4354302
n134,n133,420,0,32,-49.26038435,-25.4354302
n112,n303,420,0,72,-49.2605952,-25.43253025
n303,n112,420,0,72,-49.2605952,-25.43253025
n31,n138,420,0,63,-49.2654383,-25.43270875
n139,n502,420,0,70,-49.2625743,-25.43157275
n502,n139,420,0,70,-49.2625743,-25.43157275
n81,n502,420,0,61,-49.263490250000004,-25.4319614
n502,n81,420,0,61,-49.263490250000004,-25.4319614
n158,n252,420,0,32,-49.2613168536,-25.43388193935
n252,n158,420,0,31,-49.2613168536,-25.43388193935
n117,n252,420,0,31,-49.26172165,-25.434050300000003
n252,n117,420,0,32,-49.26172165,-25.434050300000003
n158,n160,420,0,31,-49.261035653600004,-25.43376513935
n160,n158,420,0,32,-49.261035653600004,-25.43376513935
n144,n173,420,0,31,-49.2603067,-25.43730715
n41,n198,420,0,44,-49.26090495,-25.435376849999997
n198,n41,420,0,40,-49.26090495,-25.435376849999997
n176,n376,420,0,35,-49.26117495,-25.437356649999998
n376,n176,420,0,35,-49.26117495,-25.437356649999998
n173,n376,420,0,35,-49.26083905,-25.43722195
n376,n173,420,0,35,-49.26083905,-25.43722195
n8,n173,420,0,35,-49.2604092745,-25.437030456549998
n173,n8,420,0,35,-49.2604092745,-25.437030456549998
n178,n179,420,0,39,-49.263522800000004,-25.43824685
n179,n178,420,0,39,-49.263522800000004,-25.43824685
n45,n155,420,0,63,-49.27472815,-25.43642035
n45,n283,420,0,41,-49.27502765,-25.43729995
